"folio","edad","sexo","educacion","cse","n_personas","macrozona","prob_gastar_comida_fuera","gasto_cond_comida_fuera","gasto_esp_comida_fuera"
104940601,41,"1","6","3",1,NA,NA,89725.4335691707,NA
104940701,44,"2","4","3",4,NA,NA,89725.4335691707,NA
104940801,47,"1","8","3",4,NA,NA,89725.4335691707,NA
104970301,56,"2","11","3",4,NA,NA,89725.4335691707,NA
104970401,70,"1","5","3",3,NA,NA,89725.4335691707,NA
104970501,56,"2","6","3",4,NA,NA,89725.4335691707,NA
104970601,69,"2","8","3",5,NA,NA,89725.4335691707,NA
104970801,67,"1","1","3",2,NA,NA,89725.4335691707,NA
105050101,42,"2","11",NA,5,NA,NA,89725.4335691707,NA
105050301,72,"2","3",NA,3,NA,NA,89725.4335691707,NA
105050501,57,"1","8",NA,1,NA,NA,89725.4335691707,NA
105050601,53,"2","8",NA,4,NA,NA,89725.4335691707,NA
105050701,45,"2","12",NA,2,NA,NA,89725.4335691707,NA
105050801,54,"2","11",NA,5,NA,NA,89725.4335691707,NA
105200101,34,"2","11",NA,2,NA,NA,89725.4335691707,NA
105200201,28,"1","8",NA,3,NA,NA,89725.4335691707,NA
105200601,52,"1","11",NA,1,NA,NA,89725.4335691707,NA
105240201,72,"2","11",NA,2,NA,NA,89725.4335691707,NA
105240301,65,"1","8",NA,4,NA,NA,89725.4335691707,NA
105240401,44,"2","7",NA,2,NA,NA,89725.4335691707,NA
105240501,49,"1","9",NA,4,NA,NA,89725.4335691707,NA
105240601,73,"2","5",NA,1,NA,NA,89725.4335691707,NA
105240701,85,"2",NA,NA,3,NA,NA,89725.4335691707,NA
105240801,59,"2","1",NA,2,NA,NA,89725.4335691707,NA
105240802,39,"2","9",NA,3,NA,NA,89725.4335691707,NA
105900201,65,"2",NA,"2",1,NA,NA,89725.4335691707,NA
105900202,69,"1","3","2",1,NA,NA,89725.4335691707,NA
105900203,85,"2","3","2",1,NA,NA,89725.4335691707,NA
105900204,67,"1","3","2",1,NA,NA,89725.4335691707,NA
105900401,40,"1",NA,"2",4,NA,NA,89725.4335691707,NA
105900601,30,"1","8","2",2,NA,NA,89725.4335691707,NA
105920401,62,"2","1","2",4,NA,NA,89725.4335691707,NA
105920501,62,"2",NA,"2",2,NA,NA,89725.4335691707,NA
105920701,51,"2","7","2",5,NA,NA,89725.4335691707,NA
106020101,51,"1","8",NA,1,NA,NA,89725.4335691707,NA
106020201,72,"1","1",NA,3,NA,NA,89725.4335691707,NA
106020301,71,"2","6",NA,3,NA,NA,89725.4335691707,NA
106020401,55,"1","7",NA,2,NA,NA,89725.4335691707,NA
106020501,50,"2","8",NA,2,NA,NA,89725.4335691707,NA
106020601,49,"2","6",NA,2,NA,NA,89725.4335691707,NA
106020701,21,"1","9",NA,1,NA,NA,89725.4335691707,NA
106020801,30,"1","11",NA,3,NA,NA,89725.4335691707,NA
106160201,63,"1","11",NA,5,NA,NA,89725.4335691707,NA
106160501,60,"2","11",NA,2,NA,NA,89725.4335691707,NA
106160601,70,"1","11",NA,1,NA,NA,89725.4335691707,NA
106190101,69,"1","12","3",3,NA,NA,89725.4335691707,NA
106190201,47,"1","6","3",5,NA,NA,89725.4335691707,NA
106190301,74,"2","5","3",2,NA,NA,89725.4335691707,NA
106190701,56,"1","5","3",1,NA,NA,89725.4335691707,NA
106190801,56,"2","5","3",3,NA,NA,89725.4335691707,NA
106470201,49,"2","3",NA,2,NA,NA,89725.4335691707,NA
106470501,27,"2","7",NA,4,NA,NA,89725.4335691707,NA
106470601,47,"1","9",NA,5,NA,NA,89725.4335691707,NA
106470801,38,"1","6",NA,1,NA,NA,89725.4335691707,NA
106640101,54,"2","6","3",4,NA,NA,89725.4335691707,NA
106640201,46,"2","11","3",3,NA,NA,89725.4335691707,NA
106640601,45,"2","8","3",3,NA,NA,89725.4335691707,NA
106680101,45,"1",NA,"1",4,NA,NA,89725.4335691707,NA
106680201,25,"1","5","1",1,NA,NA,89725.4335691707,NA
106680301,49,"1","5","1",4,NA,NA,89725.4335691707,NA
106680501,55,"1","1","1",5,NA,NA,89725.4335691707,NA
106680701,84,"2","1","1",1,NA,NA,89725.4335691707,NA
106680801,61,"1","1","1",2,NA,NA,89725.4335691707,NA
106830601,29,"2","5","2",3,NA,NA,89725.4335691707,NA
106830801,64,"1","3","2",1,NA,NA,89725.4335691707,NA
106830802,64,"1","3","2",1,NA,NA,89725.4335691707,NA
106900101,48,"1","5",NA,3,NA,NA,89725.4335691707,NA
106900201,58,"1",NA,NA,5,NA,NA,89725.4335691707,NA
106900301,71,"2",NA,NA,2,NA,NA,89725.4335691707,NA
106900401,74,"2","5",NA,1,NA,NA,89725.4335691707,NA
106900501,53,"1","3",NA,2,NA,NA,89725.4335691707,NA
106900701,60,"1",NA,NA,2,NA,NA,89725.4335691707,NA
106900901,54,"2","5",NA,3,NA,NA,89725.4335691707,NA
106901001,57,"1",NA,NA,3,NA,NA,89725.4335691707,NA
107060201,60,"2","1",NA,1,NA,NA,89725.4335691707,NA
107060301,36,"2","8",NA,5,NA,NA,89725.4335691707,NA
107060401,57,"2","3",NA,2,NA,NA,89725.4335691707,NA
107060601,52,"1","6",NA,3,NA,NA,89725.4335691707,NA
107060701,62,"2","8",NA,3,NA,NA,89725.4335691707,NA
107060801,37,"2",NA,NA,3,NA,NA,89725.4335691707,NA
107070301,86,"2","5",NA,1,NA,NA,89725.4335691707,NA
107270101,40,"2","5","3",2,NA,NA,89725.4335691707,NA
107270401,45,"1","5","3",4,NA,NA,89725.4335691707,NA
107270501,72,"1","1","3",2,NA,NA,89725.4335691707,NA
107270701,48,"1","6","3",4,NA,NA,89725.4335691707,NA
107310601,39,"1","11","3",4,NA,NA,89725.4335691707,NA
107310701,37,"1","12","3",4,NA,NA,89725.4335691707,NA
107350201,37,"2","11",NA,2,NA,NA,89725.4335691707,NA
107350301,29,"2","11",NA,3,NA,NA,89725.4335691707,NA
107350401,37,"2","11",NA,2,NA,NA,89725.4335691707,NA
107350701,26,"1","11",NA,2,NA,NA,89725.4335691707,NA
107360201,46,"1","4",NA,2,NA,NA,89725.4335691707,NA
107360301,39,"1","5",NA,4,NA,NA,89725.4335691707,NA
107360501,65,"1","8",NA,2,NA,NA,89725.4335691707,NA
107360601,66,"1","3",NA,1,NA,NA,89725.4335691707,NA
107360801,86,"1","3",NA,2,NA,NA,89725.4335691707,NA
107460301,35,"2","7",NA,5,NA,NA,89725.4335691707,NA
107460501,53,"2","5",NA,4,NA,NA,89725.4335691707,NA
107460601,27,"2","5",NA,2,NA,NA,89725.4335691707,NA
107460701,83,"2","1",NA,3,NA,NA,89725.4335691707,NA
107640201,43,"1","5","2",4,NA,NA,89725.4335691707,NA
107640301,54,"1","11","2",1,NA,NA,89725.4335691707,NA
107640501,56,"1","5","2",1,NA,NA,89725.4335691707,NA
107640601,64,"1","5","2",7,NA,NA,89725.4335691707,NA
107640701,55,"2","7","2",2,NA,NA,89725.4335691707,NA
107640801,33,"1","9","2",5,NA,NA,89725.4335691707,NA
107700101,38,"2","5","2",4,NA,NA,89725.4335691707,NA
107700301,48,"2","5","2",1,NA,NA,89725.4335691707,NA
107700401,78,"2",NA,"2",2,NA,NA,89725.4335691707,NA
107700501,66,"1","6","2",1,NA,NA,89725.4335691707,NA
107700601,65,"1","1","2",5,NA,NA,89725.4335691707,NA
107700801,83,"1","1","2",1,NA,NA,89725.4335691707,NA
107860101,47,"1","6","3",4,NA,NA,89725.4335691707,NA
107860201,44,"2","11","3",4,NA,NA,89725.4335691707,NA
107860301,41,"2","11","3",6,NA,NA,89725.4335691707,NA
107860401,42,"2","5","3",4,NA,NA,89725.4335691707,NA
107860501,44,"2","6","3",3,NA,NA,89725.4335691707,NA
107860601,35,"2","11","3",5,NA,NA,89725.4335691707,NA
107860701,50,"2","5","3",2,NA,NA,89725.4335691707,NA
108020201,50,"2","5","2",4,NA,NA,89725.4335691707,NA
108020401,45,"2","5","2",3,NA,NA,89725.4335691707,NA
108150301,35,"1","11","3",2,NA,NA,89725.4335691707,NA
108150601,67,"1","12","3",2,NA,NA,89725.4335691707,NA
108150701,28,"1","11","3",1,NA,NA,89725.4335691707,NA
108180101,58,"1","1",NA,2,NA,NA,89725.4335691707,NA
108180201,62,"1","1",NA,2,NA,NA,89725.4335691707,NA
108180501,58,"2",NA,NA,1,NA,NA,89725.4335691707,NA
