"geocodigo","nom_comuna","urbano","comuna_cod","pob_zona","pob_comuna","n_personas","prob_media","prob_suma","n_consumidores","prop_jovenes","prop_adultos","prop_universitarios","gasto_total","gasto_medio","peso_zona","demanda_prob_zona.x","demanda_gasto_zona","demanda_prob_zona.y","oferta_n","demanda_x_local","demanda_cat","oferta_cat","categoria_do"
"13120041003","ÑUÑOA",1,"13120",3045,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0146227615649476,8.02783723707416,748281.775910602,8.02783723707416,4,2.00695930926854,"Alta","Alta","Alta demanda / Alta oferta"
"13120041002","ÑUÑOA",1,"13120",3816,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0183252736065157,10.0605014438998,937748.196018016,10.0605014438998,20,0.503025072194992,"Alta","Alta","Alta demanda / Alta oferta"
"13120051003","ÑUÑOA",1,"13120",3642,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0174896872313758,9.6017678874956,894989.237394552,9.6017678874956,36,0.266715774652655,"Alta","Alta","Alta demanda / Alta oferta"
"13120091002","ÑUÑOA",1,"13120",3959,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0190119911447053,10.4375066080711,972889.17925454,10.4375066080711,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120091003","ÑUÑOA",1,"13120",3632,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.017441665025908,9.5754038900011,892531.825979411,9.5754038900011,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120071006","ÑUÑOA",1,"13120",3898,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0187190556913517,10.2766862233547,957898.969622176,10.2766862233547,6,1.71278103722578,"Alta","Alta","Alta demanda / Alta oferta"
"13120081003","ÑUÑOA",1,"13120",1792,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.00860557921983125,4.72442835101376,440368.125593366,4.72442835101376,5,0.944885670202752,"Baja","Alta","Baja demanda / Alta oferta"
"13120071005","ÑUÑOA",1,"13120",3216,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0154439412784472,8.47866159423005,790303.511109522,8.47866159423005,11,0.770787417657277,"Alta","Alta","Alta demanda / Alta oferta"
"13120041005","ÑUÑOA",1,"13120",4336,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0208224282908417,11.4314293136136,1065533.58960538,11.4314293136136,8,1.42892866420171,"Alta","Alta","Alta demanda / Alta oferta"
"13120061001","ÑUÑOA",1,"13120",3850,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0184885491051062,10.1501390353811,946103.394829497,10.1501390353811,13,0.780779925798548,"Alta","Alta","Alta demanda / Alta oferta"
"13120061002","ÑUÑOA",1,"13120",3225,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0154871612633682,8.50238919197509,792515.18138315,8.50238919197509,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120061005","ÑUÑOA",1,"13120",3888,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0186710334858839,10.2503222258602,955441.558207035,10.2503222258602,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120021006","ÑUÑOA",1,"13120",3619,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0173792361587998,9.54113069325826,889337.191139727,9.54113069325826,7,1.36301867046546,"Alta","Alta","Alta demanda / Alta oferta"
"13120061003","ÑUÑOA",1,"13120",3104,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0149060925772077,8.18338482229169,762780.503259937,8.18338482229169,5,1.63667696445834,"Alta","Alta","Alta demanda / Alta oferta"
"13120081001","ÑUÑOA",1,"13120",2961,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.014219375039018,7.80637965812039,727639.520023413,7.80637965812039,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
