"geocodigo","oferta_n","oferta_restaurant","oferta_fastfood","oferta_cafe","pob_zona","oferta_x1000hab"
"13116041003",2,2,0,0,3904,0.512295081967213
"13116061002",0,0,0,0,4115,0
"13124011004",0,0,0,0,2754,0
"13116041004",0,0,0,0,4436,0
"13116041001",0,0,0,0,3888,0
"13119011004",8,3,0,1,3391,2.35918608080212
"13116061003",0,0,0,0,3537,0
"13116071001",0,0,0,0,3115,0
"13116031003",6,1,0,0,4228,1.41911069063387
"13116031004",0,0,0,0,2829,0
"13116071003",0,0,0,0,5479,0
"13116021001",0,0,0,0,6216,0
"13116071002",0,0,0,0,3107,0
"13116031001",21,2,3,0,5012,4.18994413407821
"13116031002",7,2,1,0,4329,1.61700161700162
"13116071004",0,0,0,0,5471,0
"13116021002",0,0,0,0,5533,0
"13104061001",0,0,0,0,3266,0
"13116011004",0,0,0,0,5173,0
"13116011001",1,0,1,0,4898,0.204164965291956
"13103071002",5,1,0,0,3727,1.34156157767642
"13103091003",0,0,0,0,6253,0
"13116011005",7,2,1,0,3080,2.27272727272727
"13116011003",0,0,0,0,4529,0
"13116011002",3,3,0,0,3600,0.833333333333333
"13103081001",0,0,0,0,3622,0
"13103091004",0,0,0,0,4157,0
"13116071005",0,0,0,0,32,0
"13105011004",0,0,0,0,3495,0
"13103011002",6,1,0,1,2451,2.44798041615667
"13103011005",3,2,1,0,4812,0.623441396508728
"13103061001",1,1,0,0,2611,0.382995021064726
"13103081002",0,0,0,0,3918,0
"13103071003",0,0,0,0,4796,0
"13103011003",0,0,0,0,3591,0
"13103011004",7,2,0,0,4038,1.73353145121347
"13103071005",2,2,0,0,3337,0.599340725202278
"13114141002",0,0,0,0,3924,0
"13103061003",0,0,0,0,2446,0
"13103051001",0,0,0,0,5092,0
"13103021002",0,0,0,0,2610,0
"13103021003",0,0,0,0,1716,0
"13103021004",4,4,0,0,3227,1.23954136969321
"13103051002",4,3,1,0,5047,0.792550029720626
"13124061015",5,1,0,0,3568,1.40134529147982
"13103021005",6,6,0,0,3899,1.53885611695307
"13103031001",1,1,0,0,3609,0.27708506511499
"13103041003",0,0,0,0,4905,0
"13103061002",0,0,0,0,2669,0
"13103041002",5,2,3,0,3447,1.45053669857847
"13103041001",2,2,0,0,2930,0.68259385665529
"13103071001",0,0,0,0,2597,0
"13103031002",1,1,0,0,3731,0.268024658268561
"13103031003",0,0,0,0,3417,0
"13103091001",0,0,0,0,3214,0
"13103091002",0,0,0,0,2430,0
"13104081004",0,0,0,0,4251,0
"13103091005",0,0,0,0,4771,0
"13103061004",5,1,0,0,2954,1.6926201760325
"13103081003",1,0,1,0,5545,0.18034265103697
"13103021001",0,0,0,0,5120,0
"13103011006",0,0,0,0,3415,0
"13104041003",5,1,0,0,2819,1.77367860943597
"13103011001",0,0,0,0,2293,0
"13104021001",7,1,0,0,1831,3.82304751501912
"13104101002",0,0,0,0,4178,0
"13104081001",0,0,0,0,2521,0
"13104021002",0,0,0,0,3909,0
"13104021003",15,3,0,0,4126,3.63548230731944
"13104031002",0,0,0,0,4251,0
"13104031001",10,2,0,0,4469,2.23763705526964
"13104021004",3,2,0,1,3941,0.761228114691703
"13104081003",2,2,0,0,2849,0.702000702000702
"13104031005",0,0,0,0,2957,0
"13104081002",0,0,0,0,3681,0
"13104031004",12,2,0,0,2439,4.920049200492
"13104011001",5,1,0,0,3349,1.49298297999403
"13104031003",6,2,0,0,2826,2.12314225053079
"13104071003",0,0,0,0,1331,0
"13104071002",0,0,0,0,3717,0
"13104071001",0,0,0,0,12,0
"13104011002",4,3,1,0,3661,1.09259765091505
"13104041001",0,0,0,0,3036,0
"13104041002",5,1,0,0,3800,1.31578947368421
"13104041004",0,0,0,0,2817,0
"13104011003",1,1,0,0,2199,0.45475216007276
"13104071004",1,1,0,0,1579,0.633312222925903
"13124061014",5,1,0,0,3789,1.3196093956189
"13104091001",5,1,0,0,5009,0.998203234178479
"13104091002",11,1,1,0,3387,3.24771183938589
"13104101003",5,0,1,0,3627,1.37854976564654
"13104051001",0,0,0,0,2928,0
"13104101001",7,3,0,0,3161,2.21448908573236
"13104051003",0,0,0,0,2926,0
"13104051004",0,0,0,0,3367,0
"13104051002",0,0,0,0,3911,0
"13104091003",10,1,0,1,3952,2.53036437246964
"13104061003",0,0,0,0,2977,0
"13104051005",7,2,1,0,3274,2.13805742211362
"13104051006",0,0,0,0,5053,0
"13104061002",0,0,0,0,3413,0
"13119081002",0,0,0,0,2225,0
"13108051001",11,2,0,0,1739,6.32547441058079
"13108041001",2,2,0,0,1919,1.04220948410631
"13108031003",6,5,0,1,3494,1.71722953634803
"13108061002",20,6,0,0,7802,2.56344527044348
"13108031005",0,0,0,0,4721,0
"13108051002",12,3,0,0,2018,5.94648166501487
"13108011004",14,4,2,0,5169,2.70845424646934
"13108051004",0,0,0,0,1515,0
"13108051003",1,1,0,0,5617,0.178030977390066
"13108031004",0,0,0,0,2835,0
"13108041002",12,6,2,0,5689,2.10933380207418
"13125011006",10,2,4,0,2927,3.41646737273659
"13108031001",0,0,0,0,2375,0
"13108061001",30,5,1,1,5167,5.80607702728856
"13108051005",1,0,1,0,6769,0.147732309055991
"13128071007",5,0,0,1,4930,1.01419878296146
"13108031002",5,1,0,0,3092,1.61707632600259
"13108021002",1,1,0,0,2721,0.367511944138184
"13108021001",0,0,0,0,2658,0
"13108021004",20,4,0,0,4866,4.1101520756268
