"geocodigo","demanda_prob_zona","dist_rest_nearest_m","cubierta_actual","dist_nuevo_m","cubierta_nuevo","cubierta_despues","mejora_cobertura","dist_mejor_m","mejora_dist_m"
"13112041003",5.22901644507934,236.742097597768,1,15199.6617600634,0,1,0,236.742097597768,0
"13119121001",7.20156391316818,593.131652107483,0,18356.453791045,0,0,0,593.131652107483,0
"13110181003",4.80431351705984,462.060184318268,0,13151.6014235595,0,0,0,462.060184318268,0
"13110061001",3.16327022610714,292.173129447724,1,9917.06514658407,0,1,0,292.173129447724,0
"13110021003",1.37585896062036,300.571577360677,1,9958.99288842102,0,1,0,300.571577360677,0
"13110071003",4.47713804457189,1168.74545115272,0,12333.1289636152,0,0,0,1168.74545115272,0
"13110031005",5.94598371842567,325.941539848315,1,10519.3034258152,0,1,0,325.941539848315,0
"13110071004",9.36582839401021,941.451000332244,0,12625.7775300264,0,0,0,941.451000332244,0
"13110181002",4.40653702156134,507.195642132664,0,13140.5870474145,0,0,0,507.195642132664,0
"13110171005",4.61317416208004,577.976137001074,0,13047.0474803082,0,0,0,577.976137001074,0
