"cand_geocodigo","demanda_cubierta","n_zonas_cubiertas"
"13125041009",6.63601867516235,1
"13131051002",6.63453464359775,1
"13121011002",6.62826280093727,1
"13112081004",6.62500418136345,1
"13119051009",6.61485008619252,1
"13119051007",6.6071097982377,1
"13128071004",6.59361913886439,1
"13110081004",6.58483687786266,1
"13127121003",6.57342962385683,1
"13112031004",6.55771176685448,1
"13110171006",6.53834352124595,1
"13109061001",6.53524927449985,1
"13121021002",6.4946811628899,1
"13126021001",6.46476761791497,1
"13102041006",6.45856651506754,1
"13131051003",6.4579035758796,1
"13112061002",6.44951611999692,1
"13119191001",6.44765986636833,1
"13107031001",6.4331888174387,1
"13116021002",6.39849629627531,1
"13119191010",6.39347785068456,1
"13118061002",6.37861847103845,1
"13119051002",6.37644921718394,1
"13119191008",6.34394000777368,1
"13110091002",6.3403162615822,1
"13116071003",6.33604937778645,1
"13119071015",6.32691137427307,1
"13116071004",6.32679798245476,1
"13119071014",6.30988274077246,1
"13105061003",6.29359268890203,1
"13112061001",6.27138914041435,1
"13122021004",6.23817820553786,1
"13104051006",6.23815010259213,1
"13107041001",6.23628740355824,1
"13125021018",6.21951539078282,1
"13110211004",6.17328457299625,1
"13119201003",6.12721194503862,1
"13121041003",6.12007178662663,1
"13106121001",6.11712383678737,1
"13119191007",6.0838663324916,1
"13108021003",6.04731064564299,1
"13114161002",6.0349510672499,1
"13110071001",6.02691659846217,1
"13112041001",6.02333082810678,1
"13127051001",6.02005814734055,1
"13112081002",6.00090002327046,1
"13112081009",6.00090002327046,1
"13116011004",5.98218350634957,1
"13110191001",5.96836940864853,1
"13122051004",5.93748794214394,1
"13110161004",5.93048593288677,1
